Movie Name,Movie date
Die Verurteilten,(1994)
Der Pate,(1972)
The Dark Knight,(2008)
Der Pate 2,(1974)
Die zwölf Geschworenen,(1957)
Schindlers Liste,(1993)
Der Herr der Ringe: Die Rückkehr des Königs,(2003)
Pulp Fiction,(1994)
Der Herr der Ringe: Die Gefährten,(2001)
Zwei glorreiche Halunken,(1966)
Forrest Gump,(1994)
Fight Club,(1999)
Der Herr der Ringe: Die zwei Türme,(2002)
Inception,(2010)
Das Imperium schlägt zurück,(1980)
Matrix,(1999)
GoodFellas - Drei Jahrzehnte in der Mafia,(1990)
Einer flog über das Kuckucksnest,(1975)
Sieben,(1995)
Die sieben Samurai,(1954)
Ist das Leben nicht schön?,(1946)
Das Schweigen der Lämmer,(1991)
Der Soldat James Ryan,(1998)
City of God,(2002)
Interstellar,(2014)
Das Leben ist schön,(1997)
The Green Mile,(1999)
Krieg der Sterne,(1977)
Terminator 2: Tag der Abrechnung,(1991)
Zurück in die Zukunft,(1985)
Chihiros Reise ins Zauberland,(2001)
Der Pianist,(2002)
Psycho,(1960)
Parasite,(2019)
Léon: Der Profi,(1994)
Der König der Löwen,(1994)
Gladiator,(2000)
American History X,(1998)
Departed: Unter Feinden,(2006)
Die üblichen Verdächtigen,(1995)
Prestige - Die Meister der Magie,(2006)
Whiplash,(2014)
Casablanca,(1942)
Harakiri,(1962)
Die letzten Glühwürmchen,(1988)
Ziemlich beste Freunde,(2011)
Moderne Zeiten,(1936)
Spiel mir das Lied vom Tod,(1968)
Das Fenster zum Hof,(1954)
Cinema Paradiso,(1988)
Alien - Das unheimliche Wesen aus einer fremden Welt,(1979)
Lichter der Großstadt - Eine Komödien-Romance als Pantomime,(1931)
Apocalypse Now,(1979)
Memento,(2000)
Django Unchained,(2012)
Jäger des verlorenen Schatzes,(1981)
WALL·E - Der Letzte räumt die Erde auf,(2008)
Das Leben der Anderen,(2006)
Boulevard der Dämmerung,(1950)
Wege zum Ruhm,(1957)
Shining,(1980)
Der große Diktator,(1940)
Avengers: Infinity War,(2018)
Zeugin der Anklage,(1957)
Alien 2 - Die Rückkehr,(1986)
Spider-Man: A New Universe,(2018)
American Beauty,(1999)
"Dr. Seltsam oder: Wie ich lernte, die Bombe zu lieben",(1964)
The Dark Knight Rises,(2012)
Oldboy,(2003)
Inglourious Basterds,(2009)
Amadeus,(1984)
Coco: Lebendiger als das Leben,(2017)
Toy Story,(1995)
Joker,(2019)
Braveheart,(1995)
Das Boot,(1981)
Avengers: Endgame,(2019)
Prinzessin Mononoke,(1997)
Es war einmal in Amerika,(1984)
Good Will Hunting: Der gute Will Hunting,(1997)
Your Name.,(2016)
3 Idiots,(2009)
Du sollst mein Glücksstern sein,(1952)
Requiem for a Dream,(2000)
Toy Story 3,(2010)
Zwischen Himmel und Hölle,(1963)
Capernaum: Stadt der Hoffnung,(2018)
Die Rückkehr der Jedi-Ritter,(1983)
Vergiss mein nicht,(2004)
2001: Odyssee im Weltraum,(1968)
Reservoir Dogs: Wilde Hunde,(1992)
Komm und sieh',(1985)
Die Jagd,(2012)
Citizen Kane,(1941)
M: Eine Stadt sucht einen Mörder,(1931)
Lawrence von Arabien,(1962)
Der unsichtbare Dritte,(1959)
Aus dem Reich der Toten,(1958)
Ikiru - Einmal wirklich leben,(1952)
Das Appartement,(1960)
Die fabelhafte Welt der Amelie,(2001)
Uhrwerk Orange,(1971)
Frau ohne Gewissen,(1944)
Full Metal Jacket,(1987)
Scarface,(1983)
Hamilton,(2020)
Top Gun: Maverick,(2022)
Die Frau die singt - Incendies,(2010)
Wer die Nachtigall stört,(1962)
Heat,(1995)
Der Clou,(1973)
Oben,(2009)
Nader und Simin - eine Trennung,(2011)
Metropolis,(1927)
Taxi Driver,(1976)
L.A. Confidential,(1997)
Stirb langsam,(1988)
Snatch: Schweine und Diamanten,(2000)
Indiana Jones und der letzte Kreuzzug,(1989)
Fahrraddiebe,(1948)
Taare Zameen Par: Ein Stern auf Erden,(2007)
1917,(2019)
Der Untergang,(2004)
Dangal: Die Hoffnung auf den großen Sieg,(2016)
Für ein paar Dollar mehr,(1965)
Batman Begins,(2005)
Der Vagabund und das Kind,(1921)
Manche mögen's heiß,(1959)
The Father,(2020)
Alles über Eva,(1950)
The Wolf of Wall Street,(2013)
Green Book,(2018)
Das Urteil von Nürnberg,(1961)
Casino,(1995)
Ran,(1985)
Pans Labyrinth,(2006)
Die Truman Show,(1998)
There Will Be Blood,(2007)
Erbarmungslos,(1992)
The Sixth Sense - Nicht jede Gabe ist ein Segen,(1999)
Shutter Island,(2010)
A Beautiful Mind: Genie und Wahnsinn,(2001)
Jurassic Park,(1993)
Yojimbo - Der Leibwächter,(1961)
Der Schatz der Sierra Madre,(1948)
Die Ritter der Kokosnuß,(1975)
Gesprengte Ketten,(1963)
No Country for Old Men,(2007)
Kill Bill - Vol. 1,(2003)
Spider-Man: No Way Home,(2021)
Rashomon - Das Lustwäldchen,(1950)
Das Ding aus einer anderen Welt,(1982)
Findet Nemo,(2003)
Der Elefantenmensch,(1980)
Chinatown,(1974)
Wie ein wilder Stier,(1980)
V wie Vendetta,(2005)
Vom Winde verweht,(1939)
Bube Dame König grAS,(1998)
Alles steht Kopf,(2015)
Bei Anruf Mord,(1954)
In ihren Augen,(2009)
Das wandelnde Schloss,(2004)
"Three Billboards Outside Ebbing, Missouri",(2017)
Die Brücke am Kwai,(1957)
Trainspotting - Neue Helden,(1996)
Prisoners,(2013)
Warrior,(2011)
Fargo: Blutiger Schnee,(1996)
Gran Torino,(2008)
Mein Nachbar Totoro,(1988)
Catch Me If You Can,(2002)
Million Dollar Baby,(2004)
Kinder des Himmels,(1997)
Der Blade Runner,(1982)
Goldrausch,(1925)
Before Sunrise - Zwischenstopp in Wien,(1995)
Klaus,(2019)
12 Years a Slave,(2013)
Harry Potter und die Heiligtümer des Todes - Teil 2,(2011)
Die Faust im Nacken,(1954)
Ben Hur,(1959)
Gone Girl - Das perfekte Opfer,(2014)
Grand Budapest Hotel,(2014)
Wilde Erdbeeren,(1957)
Der General,(1926)
Der dritte Mann,(1949)
Im Namen des Vaters,(1993)
Die durch die Hölle gehen,(1978)
Barry Lyndon,(1975)
Hacksaw Ridge - Die Entscheidung,(2016)
Lohn der Angst,(1953)
Memories of Murder,(2003)
Sherlock Holmes Jr.,(1924)
Wild Tales: Jeder dreht mal durch!,(2014)
Mr. Smith geht nach Washington,(1939)
Mad Max: Fury Road,(2015)
Das siebente Siegel,(1957)
"Mary & Max, oder - Schrumpfen Schafe, wenn es regnet",(2009)
Drachenzähmen leicht gemacht,(2010)
Raum,(2015)
Die Monster AG,(2001)
Der weiße Hai,(1975)
Der Club der toten Dichter,(1989)
The Big Lebowski,(1998)
Die Reise nach Tokio,(1953)
Die Passion der Jeanne d'Arc,(1928)
Hotel Ruanda,(2004)
Le Mans 66 - Gegen jede Chance,(2019)
Rocky,(1976)
Platoon,(1986)
Ratatouille,(2007)
Spotlight,(2015)
Terminator,(1984)
Logan: The Wolverine,(2017)
Stand by Me: Das Geheimnis eines Sommers,(1986)
Rush: Alles für den Sieg,(2013)
Network,(1976)
Before Sunset,(2004)
Into the Wild,(2007)
Der Zauberer von Oz,(1939)
Apus Weg ins Leben - 1.: Auf der Straße,(1955)
Und täglich grüßt das Murmeltier,(1993)
Die besten Jahre unseres Lebens,(1946)
Der Exorzist,(1973)
Die Unglaublichen,(2004)
Sein oder Nichtsein,(1942)
Hass,(1995)
Fluch der Karibik,(2003)
Schlacht um Algier,(1966)
Hachiko - Eine wunderbare Freundschaft,(2009)
Früchte des Zorns,(1940)
Jai Bhim,(2021)
Mein Vater und mein Sohn,(2005)
Amores perros,(2000)
Rebecca,(1940)
Der Unbeugsame,(1967)
Die Taschendiebin,(2016)
Sie küßten und sie schlugen ihn,(1959)
"Meine Lieder, meine Träume",(1965)
Es geschah in einer Nacht,(1934)
Persona,(1966)
Das Leben des Brian,(1979)
Der Gigant aus dem All,(1999)
"Uzala, der Kirgise",(1975)
The Help,(2011)
Aladdin,(1992)
Gandhi,(1982)
Der mit dem Wolf tanzt,(1990)
